date,search_index,brand_ko,brand
2022-05-02,69.81541,에뛰드,etude
2022-05-09,21.80609,에뛰드,etude
2022-05-16,8.80161,에뛰드,etude
2022-05-23,7.10653,에뛰드,etude
2022-05-30,6.97405,에뛰드,etude
2022-06-06,6.8777,에뛰드,etude
2022-06-13,7.43277,에뛰드,etude
2022-06-20,7.1966,에뛰드,etude
2022-06-27,6.72636,에뛰드,etude
2022-07-04,6.65305,에뛰드,etude
2022-07-11,9.30118,에뛰드,etude
2022-07-18,7.03689,에뛰드,etude
2022-07-25,6.71641,에뛰드,etude
2022-08-01,6.309,에뛰드,etude
2022-08-08,7.10182,에뛰드,etude
2022-08-15,6.26135,에뛰드,etude
2022-08-22,6.85361,에뛰드,etude
2022-08-29,6.88503,에뛰드,etude
2022-09-05,6.00005,에뛰드,etude
2022-09-12,6.36975,에뛰드,etude
2022-09-19,5.59526,에뛰드,etude
2022-09-26,5.99743,에뛰드,etude
2022-10-03,6.24041,에뛰드,etude
2022-10-10,5.64187,에뛰드,etude
2022-10-17,6.14301,에뛰드,etude
2022-10-24,5.8131,에뛰드,etude
2022-10-31,6.62948,에뛰드,etude
2022-11-07,6.8379,에뛰드,etude
2022-11-14,5.93145,에뛰드,etude
2022-11-21,5.27531,에뛰드,etude
2022-11-28,5.38056,에뛰드,etude
2022-12-05,7.00809,에뛰드,etude
2022-12-12,6.06132,에뛰드,etude
2022-12-19,9.16084,에뛰드,etude
2022-12-26,6.77768,에뛰드,etude
2023-01-02,7.59668,에뛰드,etude
2023-01-09,7.7412,에뛰드,etude
2023-01-16,8.02922,에뛰드,etude
2023-01-23,7.86479,에뛰드,etude
2023-01-30,7.62233,에뛰드,etude
2023-02-06,7.91087,에뛰드,etude
2023-02-13,8.26277,에뛰드,etude
2023-02-20,7.24897,에뛰드,etude
2023-02-27,7.55007,에뛰드,etude
2023-03-06,6.64572,에뛰드,etude
2023-03-13,6.26188,에뛰드,etude
2023-03-20,7.20917,에뛰드,etude
2023-03-27,6.45039,에뛰드,etude
2023-04-03,6.25612,에뛰드,etude
2023-04-10,5.95239,에뛰드,etude
2023-04-17,5.8618,에뛰드,etude
2023-04-24,5.40674,에뛰드,etude
2023-05-01,6.32524,에뛰드,etude
2023-05-08,6.23988,에뛰드,etude
2023-05-15,6.35142,에뛰드,etude
2023-05-22,5.17162,에뛰드,etude
2023-05-29,6.23936,에뛰드,etude
2023-06-05,5.38685,에뛰드,etude
2023-06-12,4.84015,에뛰드,etude
2023-06-19,4.63697,에뛰드,etude
2023-06-26,4.31021,에뛰드,etude
2023-07-03,4.4317,에뛰드,etude
2023-07-10,4.95535,에뛰드,etude
2023-07-17,4.21019,에뛰드,etude
2023-07-24,4.24266,에뛰드,etude
2023-07-31,4.26099,에뛰드,etude
2023-08-07,4.19605,에뛰드,etude
2023-08-14,4.42122,에뛰드,etude
2023-08-21,5.32558,에뛰드,etude
2023-08-28,5.68481,에뛰드,etude
2023-09-04,7.40187,에뛰드,etude
2023-09-11,5.74398,에뛰드,etude
2023-09-18,5.11873,에뛰드,etude
2023-09-25,5.79582,에뛰드,etude
2023-10-02,5.80996,에뛰드,etude
2023-10-09,5.21771,에뛰드,etude
2023-10-16,6.48286,에뛰드,etude
2023-10-23,5.48215,에뛰드,etude
2023-10-30,5.5895,에뛰드,etude
2023-11-06,6.03199,에뛰드,etude
2023-11-13,6.55931,에뛰드,etude
2023-11-20,7.82237,에뛰드,etude
2023-11-27,6.85727,에뛰드,etude
2023-12-04,6.96148,에뛰드,etude
2023-12-11,11.81001,에뛰드,etude
2023-12-18,24.55004,에뛰드,etude
2023-12-25,9.0006,에뛰드,etude
2024-01-01,8.755,에뛰드,etude
2024-01-08,7.35527,에뛰드,etude
2024-01-15,7.20236,에뛰드,etude
2024-01-22,7.40554,에뛰드,etude
2024-01-29,8.39577,에뛰드,etude
2024-02-05,6.84994,에뛰드,etude
2024-02-12,7.51237,에뛰드,etude
2024-02-19,6.64729,에뛰드,etude
2024-02-26,6.51375,에뛰드,etude
2024-03-04,6.44044,에뛰드,etude
2024-03-11,10.46841,에뛰드,etude
2024-03-18,8.57644,에뛰드,etude
2024-03-25,15.9181,에뛰드,etude
2024-04-01,10.81192,에뛰드,etude
2024-04-08,5.80368,에뛰드,etude
2024-04-15,5.11716,에뛰드,etude
2024-04-22,4.41285,에뛰드,etude
2024-04-29,6.50014,에뛰드,etude
2024-05-06,5.54447,에뛰드,etude
2024-05-13,8.46542,에뛰드,etude
2024-05-20,7.04527,에뛰드,etude
2024-05-27,9.08491,에뛰드,etude
2024-06-03,7.26049,에뛰드,etude
2024-06-10,9.17497,에뛰드,etude
2024-06-17,7.17618,에뛰드,etude
2024-06-24,6.77611,에뛰드,etude
2024-07-01,8.89377,에뛰드,etude
2024-07-08,6.19013,에뛰드,etude
2024-07-15,5.53295,에뛰드,etude
2024-07-22,6.46139,에뛰드,etude
2024-07-29,5.37533,에뛰드,etude
2024-08-05,4.90351,에뛰드,etude
2024-08-12,5.12711,에뛰드,etude
2024-08-19,4.53067,에뛰드,etude
